Penalty Name                Number Committed
Tripping                                 239
Roughing                                 193
Hooking                                  178
Interference                             169
Cross-Checking                           121
Boarding                                 117
Slashing                                 117
Holding                                  110
Elbowing                                  49
High-Sticking                             46
Misconduct                                45
Hitting_from_Behind                       38
Game_Misconduct                           34
Too_Many_Players                          26
Hitting_after_Whistle                     22
Charging                                  20
Unsportsmanlike_Conduct                   19
Contact_to_the_Head                       16
Face-Masking                              16
Goaltender_Interference                   16
Holding_the_Stick                         16
Checking_from_Behind                      12
Embellishment                             11
Kneeing                                    4
Charging_the_Goalie                        3
Disqualification                           3
Delay_of_Game                              2
Shooting_after_Whistle                     2
Abuse_of_Officials                         1
Butt-Ending                                1
Diving                                     1
Handling_Puck_with_Hands                   1
Leaving_Bench                              1
Tripping_the_Goalie                        1
